영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
모가디슈,Escape from Mogadishu,2021,한국,"액션,드라마","감독,시나리오(각본)",34558297730.0,3613984.0,34601724626.0,3619202.0
군함도,The Battleship Island,2017,한국,"액션,드라마","감독,시나리오(각본)-각본,기획",50510565168.0,6592151.0,50510565168.0,6592151.0
베테랑,Veteran,2014,한국,"액션,드라마","감독,시나리오(각본)-각본",105168155250.0,13414009.0,105170856250.0,13414484.0
신촌좀비만화,MAD SAD BAD,2014,한국,드라마,감독,51525700.0,5187.0,51786700.0,5225.0
베를린,The Berlin File,2012,"한국,독일",액션,"감독,시나리오(각본)-각본,기획",52354931637.0,7166199.0,52358372637.0,7166688.0
부당거래,The Unjust,2010,한국,"범죄,드라마","감독,각색,제작-공동제작",21326977937.0,2766436.0,21011233100.0,2725860.0
다찌마와리,Dachimawa Lee,2007,한국,"액션,어드벤처,코미디","감독,단역(목소리),시나리오(각본)-각본",4131701167.0,628508.0,4128754000.0,628359.0
짝패,The City of Violence,2006,한국,액션,"감독,주연-유석환 역,시나리오(각본)-각본,제작",0.0,1196520.0,6585376300.0,1021638.0
다섯 개의 시선,If You Were Me,2004,한국,다큐멘터리,감독,0.0,12621.0,43699000.0,6593.0
주먹이 운다(Crying Fist),Crying Fist,2004,한국,드라마,"감독,시나리오(각본)",0.0,1728477.0,9322812000.0,1462972.0
아라한 장풍대작전,Arahan,2004,한국,"액션,드라마","감독,시나리오(각본)-각본",0.0,2050000.0,5208064000.0,810430.0
죽거나 혹은 나쁘거나,Die Bad,2000,한국,"드라마,액션","감독,주연-석환역,시나리오(각본)-각본",0.0,60978.0,16447500.0,1971.0
