grade,Audi
15세이상관람가,17615919
15세이상관람가,16266338
12세이상관람가,14414658
12세이상관람가,14264478
12세이상관람가,13977602
전체관람가,13750668
15세이상관람가,13414484
12세이상관람가,13338863
15세이상관람가,12984701
15세이상관람가,12812144
전체관람가,12797927
15세이상관람가,12706947
15세이상관람가,12693415
15세이상관람가,12324062
12세이상관람가,12278010
15세이상관람가,12189706
15세이상관람가,11746135
15세이상관람가,11567815
15세이상관람가,11375399
12세이상관람가,11325117
12세이상관람가,11233176
15세이상관람가,11081000
12세이상관람가,10917400
12세이상관람가,10802350
15세이상관람가,10514177
12세이상관람가,10504487
12세이상관람가,10342523
15세이상관람가,10313519
전체관람가,10305051
12세이상관람가,9948386
15세이상관람가,9707581
12세이상관람가,9426960
15세이상관람가,9353799
15세이상관람가,9135806
12세이상관람가,9001679
12세이상관람가,8678761
12세이상관람가,8666208
15세이상관람가,8660801
12세이상관람가,8253427
12세이상관람가,8223342
12세이상관람가,8195742
12세이상관람가,8035181
12세이상관람가,8023606
12세이상관람가,7855474
15세이상관람가,7817686
12세이상관람가,7785189
12세이상관람가,7759761
12세이상관람가,7551990
15세이상관람가,7508976
15세이상관람가,7500457
15세이상관람가,7470633
12세이상관람가,7402732
12세이상관람가,7393443
15세이상관람가,7363142
12세이상관람가,7264934
12세이상관람가,7258678
15세이상관람가,7232452
15세이상관람가,7166688
15세이상관람가,7150586
12세이상관람가,7120780
12세이상관람가,7087971
청소년관람불가,7073581
12세이상관람가,7051237
15세이상관람가,6982940
15세이상관람가,6975631
15세이상관람가,6959083
청소년관람불가,6880546
15세이상관람가,6879989
12세이상관람가,6855433
15세이상관람가,6686075
15세이상관람가,6655501
15세이상관람가,6592151
15세이상관람가,6584915
12세이상관람가,6436900
15세이상관람가,6428574
12세이상관람가,6247745
청소년관람불가,6179525
청소년관람불가,6129681
15세이상관람가,6126488
12세이상관람가,6081480
12세이상관람가,6065474
12세이상관람가,6045393
12세이상관람가,5998647
12세이상관람가,5939011
12세이상관람가,5884587
12세이상관람가,5802810
청소년관람불가,5692997
12세이상관람가,5661128
15세이상관람가,5653444
15세이상관람가,5604106
12세이상관람가,5599995
15세이상관람가,5584295
12세이상관람가,5547463
15세이상관람가,5509019
12세이상관람가,5448357
12세이상관람가,5447269
15세이상관람가,5443232
12세이상관람가,5441020
15세이상관람가,5416923
12세이상관람가,5400241
12세이상관람가,5397597
15세이상관람가,5318202
12세이상관람가,5311353
12세이상관람가,5295836
15세이상관람가,5294154
15세이상관람가,5255308
15세이상관람가,5244336
12세이상관람가,5181244
전체관람가,5156372
15세이상관람가,5127047
15세이상관람가,5074314
전체관람가,5064796
15세이상관람가,5064323
청소년관람불가,5046096
12세이상관람가,5041187
12세이상관람가,4975517
전체관람가,4971192
청소년관람불가,4945484
12세이상관람가,4909950
12세이상관람가,4887144
12세이상관람가,4858572
12세이상관람가,4853273
전체관람가,4802642
15세이상관람가,4787579
12세이상관람가,4786259
15세이상관람가,4775924
15세이상관람가,4750345
전체관람가,4743295
청소년관람불가,4720172
전체관람가,4707962
12세이상관람가,4706213
청소년관람불가,4689828
12세이상관람가,4669702
청소년관람불가,4662926
전체관람가,4654266
15세이상관람가,4598985
12세이상관람가,4592309
12세이상관람가,4585116
12세이상관람가,4579773
15세이상관람가,4573902
12세이상관람가,4571229
15세이상관람가,4529876
15세이상관람가,4516063
15세이상관람가,4499776
15세이상관람가,4459879
12세이상관람가,4452900
전체관람가,4426983
12세이상관람가,4425235
15세이상관람가,4421210
15세이상관람가,4357873
12세이상관람가,4352390
15세이상관람가,4313871
12세이상관람가,4313102
청소년관람불가,4300365
전체관람가,4289008
15세이상관람가,4245247
전체관람가,4228360
12세이상관람가,4196859
15세이상관람가,4168353
12세이상관람가,4131338
12세이상관람가,4114167
12세이상관람가,4111753
12세이상관람가,4090885
12세이상관람가,4058225
전체관람가,4039891
15세이상관람가,4018872
청소년관람불가,4018341
12세이상관람가,4015361
전체관람가,4002560
15세이상관람가,3984814
12세이상관람가,3964965
15세이상관람가,3920851
12세이상관람가,3911617
15세이상관람가,3897969
15세이상관람가,3888096
12세이상관람가,3872015
15세이상관람가,3849700
15세이상관람가,3849129
12세이상관람가,3816428
15세이상관람가,3812954
15세이상관람가,3789553
청소년관람불가,3784602
12세이상관람가,3767582
12세이상관람가,3755469
청소년관람불가,3749034
15세이상관람가,3728439
전체관람가,3702538
15세이상관람가,3689325
12세이상관람가,3679162
15세이상관람가,3659683
12세이상관람가,3657627
15세이상관람가,3619202
12세이상관람가,3611166
15세이상관람가,3587256
12세이상관람가,3579666
청소년관람불가,3566852
전체관람가,3516880
12세이상관람가,3499257
15세이상관람가,3477672
15세이상관람가,3471150
